Nome,URL,Inscritos,Links,Emails
Costa Rica Esporte Clube,https://www.youtube.com/channel/UCg3y9V3CObhXQyFh-1N0v2g,6030,Nenhum link encontrado,Nenhum e-mail encontrado
Secretaria do Esporte do Estado do Ceará-SESPORTE,https://www.youtube.com/channel/UCJGYrGitHf4YwoBUYntmjng,2670,Nenhum link encontrado,Nenhum e-mail encontrado
Universidade do Esporte (udesporte_),https://www.youtube.com/channel/UCkojLVXenxG-hOV04Qsxqdg,6960,Nenhum link encontrado,Nenhum e-mail encontrado
Carro Esporte Clube,https://www.youtube.com/channel/UCJyEQeL8axfQ9dLdesIEb8A,66300,Nenhum link encontrado,contato@carroesporteclube.com.br
Rio do Sul Esporte TV,https://www.youtube.com/channel/UCHC8tFTuu-h-ddjJP12MHFw,9890,Nenhum link encontrado,Nenhum e-mail encontrado
Nosso Esporte,https://www.youtube.com/channel/UCpc3y6LefTkkxPAk1eEgNTQ,2550,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Brasileiro,https://www.youtube.com/channel/UC1HuUYZIczmdYmbR1NwmqUg,157000,Nenhum link encontrado,Nenhum e-mail encontrado
FUTEBOL ESPORTE SHOW COM MARCEL CAPRETZ,https://www.youtube.com/channel/UCerluwizuO2veH96j61i_rA,8750,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte e Ação Oficial,https://www.youtube.com/channel/UCt34se0yFNYmmX5zcd2ly5A,12900,Nenhum link encontrado,Nenhum e-mail encontrado
TV ESPORTE NEWS,https://www.youtube.com/channel/UCLkR4f7_7un7KXfoPfuT7AQ,6980,Nenhum link encontrado,Nenhum e-mail encontrado
Resenha - Resumo do Esporte,https://www.youtube.com/channel/UC-nrepYu5dH-LS8k-cR-PYw,2120,Nenhum link encontrado,Nenhum e-mail encontrado
Projeto Esporte,https://www.youtube.com/channel/UCxYTVESf24q9MWgbbXLAriQ,6130,Nenhum link encontrado,Nenhum e-mail encontrado
L'Esporte - Pesquisa em Exercício e Esporte,https://www.youtube.com/channel/UCE8r5YEEysUOD1jf3ZT440A,282,http://lattes.cnpq.br/7556362762306121,Nenhum e-mail encontrado
Esporte Verona,https://www.youtube.com/channel/UCRYdJ6clNTgoBuQ4LQGN8Ig,26300,Nenhum link encontrado,Nenhum e-mail encontrado
Rádio Esporte Total,https://www.youtube.com/channel/UC_e0hAsiHFYMT2IChAe6X4A,6210,Nenhum link encontrado,Nenhum e-mail encontrado
FGTV ESPORTE,https://www.youtube.com/channel/UCmVRXgTyE0EudLkIiwz31kA,6370,Nenhum link encontrado,Nenhum e-mail encontrado
Canal Esporte Classe A,https://www.youtube.com/channel/UC1AdIUJrOKwY8oQli7NkN_g,52000,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte sp,https://www.youtube.com/channel/UCSHYhWUlvgqX9DxJkFAO0cQ,184000,Nenhum link encontrado,edsonjsouza075@gmail.com
Ninjas do Esporte,https://www.youtube.com/channel/UCc-zZilrD4TAMEZ-s_ucpyQ,844,Nenhum link encontrado,Nenhum e-mail encontrado
A Hora do Esporte TV,https://www.youtube.com/channel/UCH1zdiXiCsC7Z8oyOJFf2Hw,2510,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte em Destaque Botucatu,https://www.youtube.com/channel/UCdIdfOY_N_KQbWbOOwJvvew,2430,Nenhum link encontrado,Nenhum e-mail encontrado
Planeta Esporte,https://www.youtube.com/channel/UC7cOHTJw4v8i-eJngVozyMA,1240,"https://twitter.com/lucas_fscosta94, https://www.instagram.com/planetaesporte.official/, https://www.tiktok.com/@planetaesporteofficial, https://www.facebook.com/profile.php?id=61562178400644",planetaesporte.canal@gmail.com
Esporte Caçador,https://www.youtube.com/channel/UCLmUdOIHJOreu2Ghtja4GjQ,2750,Nenhum link encontrado,Nenhum e-mail encontrado
STI Esporte,https://www.youtube.com/channel/UCyE2Ys8ivwxXEqmvSOk4-PA,9210,Nenhum link encontrado,Nenhum e-mail encontrado
TVC Esporte Clube,https://www.youtube.com/channel/UCs3Mhh55EeKG54MC61F-pnw,12600,Nenhum link encontrado,Nenhum e-mail encontrado
FOCO NO ESPORTE,https://www.youtube.com/channel/UCG8m83y_KyKMUo5JbGLZifA,3490,Nenhum link encontrado,Nenhum e-mail encontrado
TV CM ESPORTE,https://www.youtube.com/channel/UCSLIOJnCULNgOR-c3Dq-7hw,7190,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Noroeste,https://www.youtube.com/channel/UCSoaZDPstnWizqoEGr4mVvQ,6130,Nenhum link encontrado,Nenhum e-mail encontrado
Jopam Esporte,https://www.youtube.com/channel/UCBS-BaGwGKldZyjJYkgN1Lw,1350,Nenhum link encontrado,Nenhum e-mail encontrado
Pássaro Esporte,https://www.youtube.com/channel/UCPgvLan4nWN95xqFdyKzF1Q,24800,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Buritiense,https://www.youtube.com/channel/UCFz-O7c_cm_23dphB8l_wiQ,5030,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Amazonia,https://www.youtube.com/channel/UCtulFHEbedMhPhGy5w_-OsA,11100,Nenhum link encontrado,Nenhum e-mail encontrado
Carlos esporte Piauí ,https://www.youtube.com/channel/UC922h90N8TrhhV1kF2bcQ5w,12400,Nenhum link encontrado,Nenhum e-mail encontrado
EU ESPORTE TV,https://www.youtube.com/channel/UCiO-G1irfUS8g6HIHZzL3tA,3440,Nenhum link encontrado,"euesportetv@gmail.com, euesportetv@gmail.com"
Resenha Esporte Oficial,https://www.youtube.com/channel/UCKcCeXPpnt16n79cFriC7IA,15400,Nenhum link encontrado,Nenhum e-mail encontrado
TV HIPERBE ESPORTE,https://www.youtube.com/channel/UCRZttW3fI-LVUXEHD8cmWCg,5490,Nenhum link encontrado,Nenhum e-mail encontrado
 Capital Esporte Tv,https://www.youtube.com/channel/UC1m39TK2YczZUyv25p2gG6A,613,Nenhum link encontrado,Nenhum e-mail encontrado
ESPORTE NA TELA ,https://www.youtube.com/channel/UC9G-w170rZ37lavDAMbD_Sw,1520,Nenhum link encontrado,Nenhum e-mail encontrado
Alternativa esporte ,https://www.youtube.com/channel/UCoPJCHpI9cyW7VN48fJc9yQ,1040,Nenhum link encontrado,Nenhum e-mail encontrado
Portel Esporte,https://www.youtube.com/channel/UCmxYZikFdcQbcsW5pi0xVVg,1750,Nenhum link encontrado,Nenhum e-mail encontrado
Pegada do Esporte,https://www.youtube.com/channel/UCmupFwyJT_l8Ed6rxv8Q4Yw,1390,Nenhum link encontrado,Nenhum e-mail encontrado
CT Amigos do Esporte,https://www.youtube.com/channel/UC_lI-lsUU5YOeuz5mG2XBRQ,4330,Nenhum link encontrado,Nenhum e-mail encontrado
RESENHA DO ESPORTE DOURADOS,https://www.youtube.com/channel/UClK_SEASihpZTxfDRGr3P3A,2740,Nenhum link encontrado,Nenhum e-mail encontrado
TV Bahia Esportiva | Tudo sobre o esporte na Bahia,https://www.youtube.com/channel/UC9q2-5n8FQfq0exxi8XUMgw,19800,Nenhum link encontrado,Nenhum e-mail encontrado
Equipe Esporte Emoção,https://www.youtube.com/channel/UC6qgTiy_vL9mg38d4atgVnA,1440,Nenhum link encontrado,Nenhum e-mail encontrado
TV ITABERAI ESPORTE CLUBE,https://www.youtube.com/channel/UC4lWqCtgi5mB7I6iggS_iFw,4530,Nenhum link encontrado,Nenhum e-mail encontrado
Placar do Esporte,https://www.youtube.com/channel/UCXxwpRvIp0_zAKGyJJtx8oA,2270,Nenhum link encontrado,Nenhum e-mail encontrado
ESPORTE EM DESTAQUE,https://www.youtube.com/channel/UC1euPaEQQ1qiF6wZdPF5_hg,1770,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Clube Mamoré,https://www.youtube.com/channel/UCqQa9rbTm3TN-0eRWxZJaIg,1360,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte na Mídia Sobralense,https://www.youtube.com/channel/UC0Y-pAJ3iCr2boH58jiaztg,4280,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Press Brasil,https://www.youtube.com/channel/UCYQYOg0o25lu4nfvUBbzt4g,3740,Nenhum link encontrado,Nenhum e-mail encontrado
AMIGOS DO ESPORTE ,https://www.youtube.com/channel/UCqSEToz0P5OQQ89TWX1mbGg,3970,Nenhum link encontrado,Nenhum e-mail encontrado
MNTV ESPORTE,https://www.youtube.com/channel/UC5Cj_Jhd0FA40ok_q6SmdjA,3540,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Total,https://www.youtube.com/channel/UCp8GuNm69V59ID8ZLY0w0NA,6180,Nenhum link encontrado,Nenhum e-mail encontrado
Portal Esporte Geral,https://www.youtube.com/channel/UCz4JrNNUdcVKbOVwMD6bvdw,1500,Nenhum link encontrado,Nenhum e-mail encontrado
"ESPORTE NA VEIA. ""POD CAST""🔥⚽️",https://www.youtube.com/channel/UCB3A1LV6ccTIJKRj6tmjiHg,2360,Nenhum link encontrado,Nenhum e-mail encontrado
ESPORTE LAZER É AQUI,https://www.youtube.com/channel/UCmKTAWQBi74h9qJx3YOIv1g,3830,Nenhum link encontrado,Nenhum e-mail encontrado
Agora é Esporte Play,https://www.youtube.com/channel/UC2rPGvfPcWE0XGTPtJXEelw,4550,Nenhum link encontrado,Nenhum e-mail encontrado
 TV Var do Esporte,https://www.youtube.com/channel/UCKMh0Zuzi2H1pgotEHDcgSg,3690,Nenhum link encontrado,Nenhum e-mail encontrado
Minuto do Esporte,https://www.youtube.com/channel/UCdxb7zznNvxUS-pXPAxyavQ,239,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Clube Rio Verde TV,https://www.youtube.com/channel/UCrmTeu4Kj9FdMPg6OkoHB-g,2730,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Mutirão,https://www.youtube.com/channel/UCK3DyTYZ8avM6e5yHzOpV-A,2120,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Clube Macapá,https://www.youtube.com/channel/UCfRL55M5DR_WNU8BXUHXzTw,1200,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Campo Bom,https://www.youtube.com/channel/UCO-D2PqNSSquaBCUt5KgXxw,599,Nenhum link encontrado,Nenhum e-mail encontrado
Há Vida No Esporte ,https://www.youtube.com/channel/UCen70u_qmCb22AwnqrrgYpQ,784,Nenhum link encontrado,Nenhum e-mail encontrado
ESPORTE PLAY MCZ,https://www.youtube.com/channel/UC-nai8Y4NmYGvv57otC6SQA,1370,Nenhum link encontrado,Nenhum e-mail encontrado
Diretoria de Esporte Malhada-BA,https://www.youtube.com/channel/UCFzh6KIW22qJEB_T2_itEGQ,2860,Nenhum link encontrado,Nenhum e-mail encontrado
Bolenios Esporte,https://www.youtube.com/channel/UC7VBz-XgT3jf-gLb5sBVjvw,321,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Na Rede,https://www.youtube.com/channel/UC25OdiMFKNKrIDnxES2VcfQ,1670,Nenhum link encontrado,Nenhum e-mail encontrado
NOSSO ESPORTE,https://www.youtube.com/channel/UC2uoWkJ78xqWNVWTedha-HQ,1460,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte vida,https://www.youtube.com/channel/UC3JuuinWahovJ3tcT6F3ONQ,6240,Nenhum link encontrado,Nenhum e-mail encontrado
Protagonismo Esporte Clube,https://www.youtube.com/channel/UCjCkt1xDYATuPcSA9sj3VEw,1020,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Conta,https://www.youtube.com/channel/UCQn1MrKOvUxEQoCA0Aay0tA,11800,Nenhum link encontrado,Nenhum e-mail encontrado
TV ESPORTE MACIÇO,https://www.youtube.com/channel/UCdicdgaid0ACwuRFU2IaQTg,1310,Nenhum link encontrado,Nenhum e-mail encontrado
C1 ESPORTE,https://www.youtube.com/channel/UCNdbfoGQVlmHi7K5vMN41bQ,1420,Nenhum link encontrado,Nenhum e-mail encontrado
Central do Esporte,https://www.youtube.com/channel/UCdNTfo0JVVah_T7Oy5DY_DA,20500,Nenhum link encontrado,Nenhum e-mail encontrado
TV Esporte Amador,https://www.youtube.com/channel/UCi-UjQuGBL2EtOgnU_5xfXA,1450,Nenhum link encontrado,Nenhum e-mail encontrado
RV ESPORTE,https://www.youtube.com/channel/UCnyRy9rPTpTX7qdfbAcgnJA,1660,Nenhum link encontrado,Nenhum e-mail encontrado
De Olho no Esporte,https://www.youtube.com/channel/UC7OtfDMgnOr5Ed2zZzQGsyg,2980,Nenhum link encontrado,Nenhum e-mail encontrado
CHARRÉ ESPORTE TV,https://www.youtube.com/channel/UCKb6PGrG-4WPY8Xw-iJ-njw,4800,Nenhum link encontrado,Nenhum e-mail encontrado
Momento do Esporte,https://www.youtube.com/channel/UCdXIPBgU_ZzF2o5LBgaCemQ,140,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte SA,https://www.youtube.com/channel/UCT1wl6IRUfRkxPjAWyz4H-Q,213,Nenhum link encontrado,Nenhum e-mail encontrado
AMIGOS DO ESPORTE,https://www.youtube.com/channel/UCYf49QBmXH5KeGTSlnvvv_w,575,Nenhum link encontrado,Nenhum e-mail encontrado
Master Esporte,https://www.youtube.com/channel/UC3spvgAU642SPALJzAneBXg,1110,Nenhum link encontrado,Nenhum e-mail encontrado
ESPORTE SANTÁSTICO,https://www.youtube.com/channel/UCHFMjr0IbsMXKzVIU4fFHeQ,4020,"https://www.instagram.com/esportesantastico/, https://www.tiktok.com/@esportesantastico?lang=pt-BR",Nenhum e-mail encontrado
jao do esporte,https://www.youtube.com/channel/UCyPcTWtLWST8IMAaUkQrCIA,299000,Nenhum link encontrado,Nenhum e-mail encontrado
Diário do Esporte,https://www.youtube.com/channel/UClOl-sivgVMb1lPHr5wbZfA,329,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Em Foco,https://www.youtube.com/channel/UCfC5jqwwC4qYHW0_2-jkLPg,2230,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Pedreira,https://www.youtube.com/channel/UCAfFoyKnZkJKXSRJ-1bSyzA,163,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte SC,https://www.youtube.com/channel/UCRYb87VQtUOsmvRaedR7J3g,1240,Nenhum link encontrado,Nenhum e-mail encontrado
História & Esporte,https://www.youtube.com/channel/UC4U7zNi--HVk-VVq9x6alcg,756,Nenhum link encontrado,Nenhum e-mail encontrado
ESPORTE CAST 013,https://www.youtube.com/channel/UCDoLsL0_uducjUxftJkcckQ,890,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Londrina,https://www.youtube.com/channel/UCASOLNtUbfRA-oe0Ktp1ZsA,833,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Corinthians Hoje,https://www.youtube.com/channel/UCEOFPR8jjpgH_qWKabG_vlA,30100,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Show,https://www.youtube.com/channel/UCvqTrnBxUsZqk11iyHerghw,1870,Nenhum link encontrado,Nenhum e-mail encontrado
CANAL ESPORTE ALTERNATIVO,https://www.youtube.com/channel/UCSr5R8WFWoc64tOfYKYjL_Q,21400,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte - Santa Izabel do Oeste,https://www.youtube.com/channel/UCGztXszr-kHS4lJnB-8iGBA,994,Nenhum link encontrado,Nenhum e-mail encontrado
Play Esporte Tv,https://www.youtube.com/channel/UCPSvkwB3pS7pbfrxqI7IIPA,549,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte in Quebrada,https://www.youtube.com/channel/UCdvz0M--9sIlfb9IhmiGsgA,3020,Nenhum link encontrado,Nenhum e-mail encontrado
Departamento Esporte,https://www.youtube.com/channel/UCU1ZSqa-81IKWpzex9VKKJQ,570,Nenhum link encontrado,Nenhum e-mail encontrado
De Placa,https://www.youtube.com/channel/UCdkhkda5VQPbKSzx03HohMw,1060000,Nenhum link encontrado,Nenhum e-mail encontrado
São Gonçalo Esporte Clube,https://www.youtube.com/channel/UCPIS4xTxAKDKue5Fd8Cv3Aw,1200,Nenhum link encontrado,Nenhum e-mail encontrado
Canal Zuando No Esporte,https://www.youtube.com/channel/UCT25Ah0oeahDaBnFDjxQLLQ,76800,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Pereirense,https://www.youtube.com/channel/UCGliuDepuGyrQKWZfAfFbRA,730,Nenhum link encontrado,Nenhum e-mail encontrado
Giro do Esporte 2023,https://www.youtube.com/channel/UCJvzwKTxdBijhmu9gAVLqxA,312,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte One,https://www.youtube.com/channel/UCXCJHAHfc4RKYuy7GslpCdg,3900,Nenhum link encontrado,canal.esporteone@gmail.com
Música x esporte ,https://www.youtube.com/channel/UCL4SjkTr0OEQ1wjmcIqo3aw,5890,Nenhum link encontrado,Nenhum e-mail encontrado
Música x esporte ,https://www.youtube.com/channel/UCL4SjkTr0OEQ1wjmcIqo3aw,5890,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Total - Momentos emocionantes,https://www.youtube.com/channel/UCcAX3zoRS0Lz7NUEK_j0qpg,4120,https://informatudo.com.br/esportes/,Nenhum e-mail encontrado
Esporte ES,https://www.youtube.com/channel/UCBm3PmtZsVTYcdI3G3hkA_w,2060,Nenhum link encontrado,Nenhum e-mail encontrado
RESENHA DO ESPORTE PODCAST,https://www.youtube.com/channel/UCKbuxIpW9Ov7L9rKTtkPS8A,705,Nenhum link encontrado,Nenhum e-mail encontrado
ESTAÇÃO ESPORTE SHOW.  NARRADOR MESTRE BUJA,https://www.youtube.com/channel/UCvn_LG_2FOneSxdwrhvA5vA,3440,Nenhum link encontrado,Nenhum e-mail encontrado
Programa Circuito do Esporte ,https://www.youtube.com/channel/UC9t0kAtCrwlMmj7WYrM28lA,80,Nenhum link encontrado,Nenhum e-mail encontrado
eMuseu do Esporte,https://www.youtube.com/channel/UC02GLWG0A7q5Gr78SkMY6Nw,254,Nenhum link encontrado,Nenhum e-mail encontrado
AGRESTE ESPORTE TV,https://www.youtube.com/channel/UC8ZjHIaCot8mu7nB1m60GBQ,2010,Nenhum link encontrado,Nenhum e-mail encontrado
ESPORTE NOVO,https://www.youtube.com/channel/UC_yyOlg61_E3jwr2VYzFAaQ,2330,Nenhum link encontrado,Nenhum e-mail encontrado
FUT ESPORTE,https://www.youtube.com/channel/UCrG_ZmQ2v7GYcpUmGWRW3EQ,213000,Nenhum link encontrado,Nenhum e-mail encontrado
FSA Esporte Clube Oficial,https://www.youtube.com/channel/UCpmosZp3SGV_MKOI0jnWvyw,1070,Nenhum link encontrado,Nenhum e-mail encontrado
A Tv do Esporte,https://www.youtube.com/channel/UCjVla5XoEPkfh48prposkjQ,179,Nenhum link encontrado,Nenhum e-mail encontrado
Zoeira do Esporte,https://www.youtube.com/channel/UCGdJveBnRbUKVgmuBYAvpBw,3070,Nenhum link encontrado,Nenhum e-mail encontrado
Podcast Esporte e Cultura Com Você,https://www.youtube.com/channel/UC2SSad1UAmr6UdX3r89_wwQ,251,Nenhum link encontrado,Nenhum e-mail encontrado
Alex do Esporte,https://www.youtube.com/channel/UCL_NyLGMOUi_zIE_b4b-vQQ,1260,Nenhum link encontrado,Nenhum e-mail encontrado
ItaCast Esporte Clube,https://www.youtube.com/channel/UC7EkpLtes6do60P57mB54RA,793,Nenhum link encontrado,Nenhum e-mail encontrado
Marajó Esporte,https://www.youtube.com/channel/UC0bS9tX5FFte5X9-I2bhPPg,2430,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Vida Pádel Clube,https://www.youtube.com/channel/UC_M-zNaSW1vExN_wEx1MUbw,223,Nenhum link encontrado,Nenhum e-mail encontrado
FÚRIA ESPORTE CLUBE,https://www.youtube.com/channel/UC81SG0LnFNpK1iqx-xng5Fw,5070,Nenhum link encontrado,furiapixclube@gmail.com
Destak Esporte ,https://www.youtube.com/channel/UCJjyBcaKFZSaqUXg10AWf9A,118,Nenhum link encontrado,Nenhum e-mail encontrado
Arena Esporte Online,https://www.youtube.com/channel/UCVBrIGirnedgiDLAp9bsS4w,1500,Nenhum link encontrado,Nenhum e-mail encontrado
Nossa tv esporte,https://www.youtube.com/channel/UCxQY7uaHbCIbLpigtDdTN4g,178,Nenhum link encontrado,Nenhum e-mail encontrado
Rei das Lives Esporte,https://www.youtube.com/channel/UCmVcDC922WygaH-RZjcmjUQ,4990,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte 360 TV,https://www.youtube.com/channel/UC2nTi6FU2g0Z-ao4dJJQkCg,635,Nenhum link encontrado,Nenhum e-mail encontrado
CANAL DO ESPORTE S G,https://www.youtube.com/channel/UC6mJKtA1OVuG49fA707rYsA,5110,Nenhum link encontrado,Nenhum e-mail encontrado
Prof. Esporte Games,https://www.youtube.com/channel/UCmcW1mawS8UYOvm01jj1U0A,2890,Nenhum link encontrado,Nenhum e-mail encontrado
